"Subject";"Country";"entry";"nowcast_year";"nowcast_month";"nowcast";"Model"
"INTRA_EXPORT";"AT";1;2024;11;12231.5485797591;"TRAMO_MV"
"INTRA_EXPORT";"BE";1;2024;11;27218.4194075813;"TRAMO_MV"
"INTRA_EXPORT";"BG";1;2024;11;2419.87366090857;"TRAMO_MV"
"INTRA_EXPORT";"HR";1;2024;11;1368.12412011837;"TRAMO_MV"
"INTRA_EXPORT";"CY";1;2024;11;85.6231744039137;"TRAMO_MV"
"INTRA_EXPORT";"CZ";1;2024;11;18074.4496730682;"TRAMO_MV"
"INTRA_EXPORT";"DK";1;2024;11;5706.53888786553;"TRAMO_MV"
"INTRA_EXPORT";"EE";1;2024;11;1121.50341635127;"TRAMO_MV"
"INTRA_EXPORT";"FI";1;2024;11;3563.58417119672;"TRAMO_MV"
"INTRA_EXPORT";"FR";1;2024;11;26113.4065303439;"TRAMO_MV"
"INTRA_EXPORT";"DE";1;2024;11;73860.6791442061;"TRAMO_MV"
"INTRA_EXPORT";"EL";1;2024;11;2342.21858935195;"TRAMO_MV"
"INTRA_EXPORT";"HU";1;2024;11;9730.8781429101;"TRAMO_MV"
"INTRA_EXPORT";"IE";1;2024;11;8045.13459564627;"TRAMO_MV"
"INTRA_EXPORT";"IT";1;2024;11;27273.2760343601;"TRAMO_MV"
"INTRA_EXPORT";"LV";1;2024;11;1057.34214000259;"TRAMO_MV"
"INTRA_EXPORT";"LT";1;2024;11;2035.18727852705;"TRAMO_MV"
"INTRA_EXPORT";"LU";1;2024;11;1038.60967418991;"TRAMO_MV"
"INTRA_EXPORT";"MT";1;2024;11;142.230876655119;"TRAMO_MV"
"INTRA_EXPORT";"NL";1;2024;11;52721.7939605285;"TRAMO_MV"
"INTRA_EXPORT";"PL";1;2024;11;23406.4718199932;"TRAMO_MV"
"INTRA_EXPORT";"PT";1;2024;11;5044.88257631914;"TRAMO_MV"
"INTRA_EXPORT";"RO";1;2024;11;5700.13127421579;"TRAMO_MV"
"INTRA_EXPORT";"SK";1;2024;11;7304.57976571906;"TRAMO_MV"
"INTRA_EXPORT";"SI";1;2024;11;3593.06320536889;"TRAMO_MV"
"INTRA_EXPORT";"ES";1;2024;11;22627.6042574681;"TRAMO_MV"
"INTRA_EXPORT";"SE";1;2024;11;8247.48593348186;"TRAMO_MV"
"INTRA_EXPORT";"AT";2;2024;11;12016.7943610512;"TRAMO_UV"
"INTRA_EXPORT";"BE";2;2024;11;27187.6021357122;"TRAMO_UV"
"INTRA_EXPORT";"BG";2;2024;11;2363.84761539011;"TRAMO_UV"
"INTRA_EXPORT";"HR";2;2024;11;1438.62581922305;"TRAMO_UV"
"INTRA_EXPORT";"CY";2;2024;11;95.9189089706206;"TRAMO_UV"
"INTRA_EXPORT";"CZ";2;2024;11;17921.9743672677;"TRAMO_UV"
"INTRA_EXPORT";"DK";2;2024;11;5726.4721645905;"TRAMO_UV"
"INTRA_EXPORT";"EE";2;2024;11;1100.66978685213;"TRAMO_UV"
"INTRA_EXPORT";"FI";2;2024;11;3685.70996787675;"TRAMO_UV"
"INTRA_EXPORT";"FR";2;2024;11;26335.773733367;"TRAMO_UV"
"INTRA_EXPORT";"DE";2;2024;11;73743.2687942632;"TRAMO_UV"
"INTRA_EXPORT";"EL";2;2024;11;2343.46516651682;"TRAMO_UV"
"INTRA_EXPORT";"HU";2;2024;11;9556.34975893608;"TRAMO_UV"
"INTRA_EXPORT";"IE";2;2024;11;7755.43959700144;"TRAMO_UV"
"INTRA_EXPORT";"IT";2;2024;11;27028.5593070442;"TRAMO_UV"
"INTRA_EXPORT";"LV";2;2024;11;1080.92955224708;"TRAMO_UV"
"INTRA_EXPORT";"LT";2;2024;11;2140.50367165617;"TRAMO_UV"
"INTRA_EXPORT";"LU";2;2024;11;1046.2498764749;"TRAMO_UV"
"INTRA_EXPORT";"MT";2;2024;11;144.21553171456;"TRAMO_UV"
"INTRA_EXPORT";"NL";2;2024;11;53303.8792558785;"TRAMO_UV"
"INTRA_EXPORT";"PL";2;2024;11;22789.7087115028;"TRAMO_UV"
"INTRA_EXPORT";"PT";2;2024;11;5035.69696372278;"TRAMO_UV"
"INTRA_EXPORT";"RO";2;2024;11;6129.013117324;"TRAMO_UV"
"INTRA_EXPORT";"SK";2;2024;11;7311.02519752339;"TRAMO_UV"
"INTRA_EXPORT";"SI";2;2024;11;3608.27189363366;"TRAMO_UV"
"INTRA_EXPORT";"ES";2;2024;11;22791.9309835216;"TRAMO_UV"
"INTRA_EXPORT";"SE";2;2024;11;8299.9606160902;"TRAMO_UV"
"INTRA_EXPORT";"AT";3;2024;11;12124.1714704052;"TRAMO_AVG"
"INTRA_EXPORT";"BE";3;2024;11;27203.0107716468;"TRAMO_AVG"
"INTRA_EXPORT";"BG";3;2024;11;2391.86063814934;"TRAMO_AVG"
"INTRA_EXPORT";"HR";3;2024;11;1403.37496967071;"TRAMO_AVG"
"INTRA_EXPORT";"CY";3;2024;11;90.7710416872671;"TRAMO_AVG"
"INTRA_EXPORT";"CZ";3;2024;11;17998.212020168;"TRAMO_AVG"
"INTRA_EXPORT";"DK";3;2024;11;5716.50552622801;"TRAMO_AVG"
"INTRA_EXPORT";"EE";3;2024;11;1111.0866016017;"TRAMO_AVG"
"INTRA_EXPORT";"FI";3;2024;11;3624.64706953673;"TRAMO_AVG"
"INTRA_EXPORT";"FR";3;2024;11;26224.5901318554;"TRAMO_AVG"
"INTRA_EXPORT";"DE";3;2024;11;73801.9739692346;"TRAMO_AVG"
"INTRA_EXPORT";"EL";3;2024;11;2342.84187793438;"TRAMO_AVG"
"INTRA_EXPORT";"HU";3;2024;11;9643.61395092309;"TRAMO_AVG"
"INTRA_EXPORT";"IE";3;2024;11;7900.28709632385;"TRAMO_AVG"
"INTRA_EXPORT";"IT";3;2024;11;27150.9176707022;"TRAMO_AVG"
"INTRA_EXPORT";"LV";3;2024;11;1069.13584612484;"TRAMO_AVG"
"INTRA_EXPORT";"LT";3;2024;11;2087.84547509161;"TRAMO_AVG"
"INTRA_EXPORT";"LU";3;2024;11;1042.42977533241;"TRAMO_AVG"
"INTRA_EXPORT";"MT";3;2024;11;143.223204184839;"TRAMO_AVG"
"INTRA_EXPORT";"NL";3;2024;11;53012.8366082035;"TRAMO_AVG"
"INTRA_EXPORT";"PL";3;2024;11;23098.090265748;"TRAMO_AVG"
"INTRA_EXPORT";"PT";3;2024;11;5040.28977002096;"TRAMO_AVG"
"INTRA_EXPORT";"RO";3;2024;11;5914.57219576989;"TRAMO_AVG"
"INTRA_EXPORT";"SK";3;2024;11;7307.80248162123;"TRAMO_AVG"
"INTRA_EXPORT";"SI";3;2024;11;3600.66754950128;"TRAMO_AVG"
"INTRA_EXPORT";"ES";3;2024;11;22709.7676204948;"TRAMO_AVG"
"INTRA_EXPORT";"SE";3;2024;11;8273.72327478603;"TRAMO_AVG"
"INTRA_EXPORT";"AT";4;2024;11;9052.57104651928;"LSTM"
"INTRA_EXPORT";"BE";4;2024;11;23071.9643966556;"LSTM"
"INTRA_EXPORT";"BG";4;2024;11;2020.45951378345;"LSTM"
"INTRA_EXPORT";"HR";4;2024;11;803.153683942556;"LSTM"
"INTRA_EXPORT";"CY";4;2024;11;61.6137539915741;"LSTM"
"INTRA_EXPORT";"CZ";4;2024;11;11293.2163956791;"LSTM"
"INTRA_EXPORT";"DK";4;2024;11;5447.95022466779;"LSTM"
"INTRA_EXPORT";"EE";4;2024;11;1185.58286955357;"LSTM"
"INTRA_EXPORT";"FI";4;2024;11;3206.81855548322;"LSTM"
"INTRA_EXPORT";"FR";4;2024;11;22771.4711263359;"LSTM"
"INTRA_EXPORT";"DE";4;2024;11;61758.517935431;"LSTM"
"INTRA_EXPORT";"EL";4;2024;11;1881.63736028969;"LSTM"
"INTRA_EXPORT";"HU";4;2024;11;8128.11496860981;"LSTM"
"INTRA_EXPORT";"IE";4;2024;11;6123.93237160742;"LSTM"
"INTRA_EXPORT";"IT";4;2024;11;20514.6547679305;"LSTM"
"INTRA_EXPORT";"LV";4;2024;11;1001.11007075906;"LSTM"
"INTRA_EXPORT";"LT";4;2024;11;1541.97739526033;"LSTM"
"INTRA_EXPORT";"LU";4;2024;11;904.478798133135;"LSTM"
"INTRA_EXPORT";"MT";4;2024;11;116.588835501671;"LSTM"
"INTRA_EXPORT";"NL";4;2024;11;43299.4729484558;"LSTM"
"INTRA_EXPORT";"PL";4;2024;11;14971.7503766835;"LSTM"
"INTRA_EXPORT";"PT";4;2024;11;4092.73759313226;"LSTM"
"INTRA_EXPORT";"RO";4;2024;11;4796.58941078186;"LSTM"
"INTRA_EXPORT";"SK";4;2024;11;6385.52490799427;"LSTM"
"INTRA_EXPORT";"SI";4;2024;11;2465.79375526905;"LSTM"
"INTRA_EXPORT";"ES";4;2024;11;14952.8139379501;"LSTM"
"INTRA_EXPORT";"SE";4;2024;11;7039.89104783535;"LSTM"
